A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,400,550,1,2.25,1.051838428,0.002,0.1614203243,0.363204679,0.294974424,0.249021155,0.287669251
50,400,550,1,1.565,1.040864046,0.0,0.1527302184,0.371919339,0.287840572,0.244464991,0.292957898
50,400,550,1,1.2,1.002860871,0.0,0.1447265034,0.383459512,0.282403326,0.239055224,0.297126489
50,400,550,1,0.973,0.991952018,0.005,0.1434605648,0.3874751919999999,0.278978694,0.2355325379999999,0.300922867
50,400,550,1,0.818,0.94326566,0.012,0.1378730316,0.403720017,0.2675090229,0.234217766,0.308598453
50,400,550,1,0.706,0.6480976585999999,0.7130000000000001,0.1293945335,0.482096451,0.339589207,0.227812388,0.339459751
50,400,550,1,0.621,0.6003990305,0.787,0.1307627044,0.492790955,0.343234733,0.2346356061,0.347933247
50,400,550,2,4.0,1.097945852,0.001,0.1675098935,0.346648609,0.304228356,0.260104592,0.281328024
50,400,550,2,2.25,1.0586046260000002,0.001,0.1594564091999999,0.361883097,0.298206996,0.245938028,0.2866380019999999
50,400,550,2,1.565,1.025219878,0.0,0.1523402064,0.374081079,0.288094445,0.24298565,0.292258502
50,400,550,2,1.2,0.990494609,0.008,0.1448178231,0.386395039,0.279133027,0.239061168,0.298819213
50,400,550,2,0.973,0.986725226,0.006,0.1407828684,0.391366874,0.27257524,0.235795448,0.302944527
50,400,550,2,0.818,0.6964433413000001,0.8160000000000001,0.1210623811,0.478031577,0.3368314939999999,0.231659955,0.32818047
50,400,550,2,0.706,0.6749406434,0.87,0.1208609381,0.483919542,0.341506807,0.2341245821,0.331747176
50,400,550,2,0.621,0.6725898403999999,0.888,0.1181754159999999,0.488542486,0.343899959,0.237043204,0.335749724
50,400,550,3,4.0,1.090732878,0.0,0.1659005531,0.348999462,0.303959004,0.255114285,0.280968883
50,400,550,3,2.25,1.066808211,0.002,0.158033362,0.361700689,0.295041784,0.247793785,0.288487078
50,400,550,3,1.565,1.020276241,0.0,0.1503006477,0.375274542,0.288131995,0.243754463,0.292831753
50,400,550,3,1.2,0.997815377,0.002,0.1467141675,0.384362127,0.2808570059999999,0.239384119,0.296548106
50,400,550,3,0.973,0.970845464,0.001,0.1416118324999999,0.393411929,0.276709399,0.237000944,0.302757275
50,400,550,3,0.818,0.951009226,0.006,0.1392338392,0.3999762819999999,0.268699763,0.234923586,0.30939954
